LSOA,IUC,IUCd
E01005535,7,Passive and Uncommitted Users
E01005536,7,Passive and Uncommitted Users
E01005537,6,e-Mainstream
E01005538,7,Passive and Uncommitted Users
E01005539,7,Passive and Uncommitted Users
E01005540,6,e-Mainstream
E01005541,6,e-Mainstream
E01005542,7,Passive and Uncommitted Users
E01005543,6,e-Mainstream
E01005544,5,e-Rational Utilitarians
E01005545,5,e-Rational Utilitarians
E01005546,7,Passive and Uncommitted Users
E01005547,7,Passive and Uncommitted Users
E01005548,7,Passive and Uncommitted Users
E01005549,5,e-Rational Utilitarians
E01005550,8,Digital Seniors
E01005551,10,e-Withdrawn
E01005552,10,e-Withdrawn
E01005553,10,e-Withdrawn
E01005554,8,Digital Seniors
E01005555,3,e-Veterans
E01005556,6,e-Mainstream
E01005557,8,Digital Seniors
E01005558,7,Passive and Uncommitted Users
E01005559,7,Passive and Uncommitted Users
E01005560,8,Digital Seniors
E01005561,5,e-Rational Utilitarians
E01005562,8,Digital Seniors
E01005563,7,Passive and Uncommitted Users
E01005564,10,e-Withdrawn
E01005565,7,Passive and Uncommitted Users
E01005566,7,Passive and Uncommitted Users
E01005567,6,e-Mainstream
E01005568,10,e-Withdrawn
E01005569,7,Passive and Uncommitted Users
E01005570,5,e-Rational Utilitarians
E01005571,3,e-Veterans
E01005572,5,e-Rational Utilitarians
E01005573,3,e-Veterans
E01005574,5,e-Rational Utilitarians
E01005575,5,e-Rational Utilitarians
E01005576,5,e-Rational Utilitarians
E01005577,5,e-Rational Utilitarians
E01005578,10,e-Withdrawn
E01005579,10,e-Withdrawn
E01005580,7,Passive and Uncommitted Users
E01005581,10,e-Withdrawn
E01005583,10,e-Withdrawn
E01005585,7,Passive and Uncommitted Users
E01005586,10,e-Withdrawn
E01005587,3,e-Veterans
E01005588,7,Passive and Uncommitted Users
E01005589,6,e-Mainstream
E01005590,10,e-Withdrawn
E01005591,6,e-Mainstream
E01005592,7,Passive and Uncommitted Users
E01005593,7,Passive and Uncommitted Users
E01005594,6,e-Mainstream
E01005595,10,e-Withdrawn
E01005596,3,e-Veterans
E01005597,5,e-Rational Utilitarians
E01005598,5,e-Rational Utilitarians
E01005599,10,e-Withdrawn
E01005600,7,Passive and Uncommitted Users
E01005601,10,e-Withdrawn
E01005602,10,e-Withdrawn
E01005603,6,e-Mainstream
E01005604,7,Passive and Uncommitted Users
E01005605,7,Passive and Uncommitted Users
E01005609,7,Passive and Uncommitted Users
E01005610,10,e-Withdrawn
E01005611,7,Passive and Uncommitted Users
E01005612,10,e-Withdrawn
E01005613,10,e-Withdrawn
E01005614,10,e-Withdrawn
E01005615,10,e-Withdrawn
E01005616,7,Passive and Uncommitted Users
E01005617,6,e-Mainstream
E01005618,7,Passive and Uncommitted Users
E01005619,7,Passive and Uncommitted Users
E01005620,6,e-Mainstream
E01005621,7,Passive and Uncommitted Users
E01005622,6,e-Mainstream
E01005623,3,e-Veterans
E01005624,10,e-Withdrawn
E01005625,6,e-Mainstream
E01005626,6,e-Mainstream
E01005627,6,e-Mainstream
E01005628,6,e-Mainstream
E01005629,8,Digital Seniors
E01005630,6,e-Mainstream
E01005631,10,e-Withdrawn
E01005632,4,Youthful Urban Fringe
E01005633,7,Passive and Uncommitted Users
E01005634,3,e-Veterans
E01005635,6,e-Mainstream
E01005636,3,e-Veterans
E01005637,6,e-Mainstream
E01005638,7,Passive and Uncommitted Users
E01005639,10,e-Withdrawn
E01005640,7,Passive and Uncommitted Users
E01005641,7,Passive and Uncommitted Users
E01005642,6,e-Mainstream
E01005643,9,Settled Offline Communities
E01005644,6,e-Mainstream
E01005645,8,Digital Seniors
E01005646,7,Passive and Uncommitted Users
E01005647,4,Youthful Urban Fringe
E01005648,6,e-Mainstream
E01005649,4,Youthful Urban Fringe
E01005650,10,e-Withdrawn
E01005651,7,Passive and Uncommitted Users
E01005652,7,Passive and Uncommitted Users
E01005653,10,e-Withdrawn
E01005654,4,Youthful Urban Fringe
E01005655,7,Passive and Uncommitted Users
E01005656,7,Passive and Uncommitted Users
E01005657,10,e-Withdrawn
E01005658,10,e-Withdrawn
E01005659,7,Passive and Uncommitted Users
E01005660,10,e-Withdrawn
E01005661,7,Passive and Uncommitted Users
E01005662,10,e-Withdrawn
E01005663,7,Passive and Uncommitted Users
E01005664,10,e-Withdrawn
E01005665,10,e-Withdrawn
E01005667,10,e-Withdrawn
E01005670,7,Passive and Uncommitted Users
E01005671,7,Passive and Uncommitted Users
E01005672,6,e-Mainstream
E01005673,6,e-Mainstream
E01005674,7,Passive and Uncommitted Users
E01005675,4,Youthful Urban Fringe
E01005676,8,Digital Seniors
E01005677,7,Passive and Uncommitted Users
E01005678,7,Passive and Uncommitted Users
E01005679,10,e-Withdrawn
E01005680,10,e-Withdrawn
E01005681,10,e-Withdrawn
E01005682,10,e-Withdrawn
E01005683,10,e-Withdrawn
E01005686,7,Passive and Uncommitted Users
E01005687,6,e-Mainstream
E01005688,7,Passive and Uncommitted Users
E01005689,10,e-Withdrawn
E01005690,7,Passive and Uncommitted Users
E01005691,9,Settled Offline Communities
E01005692,10,e-Withdrawn
E01005693,8,Digital Seniors
E01005694,6,e-Mainstream
E01005695,3,e-Veterans
E01005696,6,e-Mainstream
E01005697,6,e-Mainstream
E01005698,10,e-Withdrawn
E01005699,8,Digital Seniors
E01005700,7,Passive and Uncommitted Users
E01005701,6,e-Mainstream
E01005702,7,Passive and Uncommitted Users
E01005703,10,e-Withdrawn
E01005704,7,Passive and Uncommitted Users
E01005705,7,Passive and Uncommitted Users
E01005706,7,Passive and Uncommitted Users
E01005707,7,Passive and Uncommitted Users
E01005708,7,Passive and Uncommitted Users
E01005709,10,e-Withdrawn
E01005710,8,Digital Seniors
E01005711,6,e-Mainstream
E01005712,6,e-Mainstream
E01005713,5,e-Rational Utilitarians
E01005714,7,Passive and Uncommitted Users
E01005715,5,e-Rational Utilitarians
E01005716,3,e-Veterans
E01005717,3,e-Veterans
E01005718,6,e-Mainstream
E01005719,7,Passive and Uncommitted Users
E01005720,4,Youthful Urban Fringe
E01005721,7,Passive and Uncommitted Users
E01005722,7,Passive and Uncommitted Users
E01005723,7,Passive and Uncommitted Users
E01005724,6,e-Mainstream
E01005725,10,e-Withdrawn
E01005726,7,Passive and Uncommitted Users
E01005727,6,e-Mainstream
E01005728,8,Digital Seniors
E01005729,10,e-Withdrawn
E01005730,6,e-Mainstream
E01005731,7,Passive and Uncommitted Users
E01005732,7,Passive and Uncommitted Users
E01005733,7,Passive and Uncommitted Users
E01005734,6,e-Mainstream
E01005735,5,e-Rational Utilitarians
E01005736,6,e-Mainstream
E01005737,3,e-Veterans
E01005738,5,e-Rational Utilitarians
E01005739,3,e-Veterans
E01005740,3,e-Veterans
E01005741,5,e-Rational Utilitarians
E01005742,3,e-Veterans
E01005743,8,Digital Seniors
E01005744,7,Passive and Uncommitted Users
E01005745,6,e-Mainstream
E01005746,10,e-Withdrawn
E01005747,6,e-Mainstream
E01005748,8,Digital Seniors
E01005749,6,e-Mainstream
E01005750,6,e-Mainstream
E01005751,6,e-Mainstream
E01005752,7,Passive and Uncommitted Users
E01005753,10,e-Withdrawn
E01005754,10,e-Withdrawn
E01005755,10,e-Withdrawn
E01005756,10,e-Withdrawn
E01005757,6,e-Mainstream
E01005758,10,e-Withdrawn
E01005759,6,e-Mainstream
E01005760,4,Youthful Urban Fringe
E01005761,7,Passive and Uncommitted Users
E01005762,10,e-Withdrawn
E01005763,7,Passive and Uncommitted Users
E01005764,6,e-Mainstream
E01005765,6,e-Mainstream
E01005766,7,Passive and Uncommitted Users
E01005767,5,e-Rational Utilitarians
E01005768,6,e-Mainstream
E01005769,3,e-Veterans
E01005770,5,e-Rational Utilitarians
E01005771,3,e-Veterans
E01005772,6,e-Mainstream
E01005773,3,e-Veterans
E01005774,7,Passive and Uncommitted Users
E01005775,3,e-Veterans
E01005776,3,e-Veterans
E01005777,6,e-Mainstream
E01005778,6,e-Mainstream
E01005779,6,e-Mainstream
E01005780,3,e-Veterans
E01005781,7,Passive and Uncommitted Users
E01005782,5,e-Rational Utilitarians
E01005783,6,e-Mainstream
E01005784,5,e-Rational Utilitarians
E01005785,3,e-Veterans
E01005786,3,e-Veterans
E01005787,3,e-Veterans
E01005788,3,e-Veterans
E01005789,3,e-Veterans
E01005790,6,e-Mainstream
E01005791,6,e-Mainstream
E01005792,5,e-Rational Utilitarians
E01005793,6,e-Mainstream
E01005794,5,e-Rational Utilitarians
E01005795,5,e-Rational Utilitarians
E01005796,3,e-Veterans
E01005797,6,e-Mainstream
E01005798,6,e-Mainstream
E01005799,6,e-Mainstream
E01005800,6,e-Mainstream
E01005801,6,e-Mainstream
E01005802,3,e-Veterans
E01005803,3,e-Veterans
E01005804,6,e-Mainstream
E01005805,3,e-Veterans
E01005806,5,e-Rational Utilitarians
E01005807,5,e-Rational Utilitarians
E01005808,3,e-Veterans
E01005809,3,e-Veterans
E01005810,5,e-Rational Utilitarians
E01005811,3,e-Veterans
E01005812,3,e-Veterans
E01005813,3,e-Veterans
E01005814,5,e-Rational Utilitarians
E01005815,6,e-Mainstream
E01005816,3,e-Veterans
E01005817,6,e-Mainstream
E01005818,6,e-Mainstream
E01005819,6,e-Mainstream
E01005820,6,e-Mainstream
E01005821,6,e-Mainstream
E01005822,7,Passive and Uncommitted Users
E01005823,6,e-Mainstream
E01005824,6,e-Mainstream
E01005825,6,e-Mainstream
E01005826,10,e-Withdrawn
E01005827,8,Digital Seniors
E01005828,10,e-Withdrawn
E01005829,7,Passive and Uncommitted Users
E01005830,6,e-Mainstream
E01005831,6,e-Mainstream
E01005832,8,Digital Seniors
E01005833,8,Digital Seniors
E01005834,7,Passive and Uncommitted Users
E01005835,5,e-Rational Utilitarians
E01005836,8,Digital Seniors
E01005837,6,e-Mainstream
E01005838,6,e-Mainstream
E01005839,5,e-Rational Utilitarians
E01005840,6,e-Mainstream
E01005841,6,e-Mainstream
E01005842,5,e-Rational Utilitarians
E01005843,5,e-Rational Utilitarians
E01005844,6,e-Mainstream
E01005845,6,e-Mainstream
E01005846,6,e-Mainstream
E01005847,6,e-Mainstream
E01005848,6,e-Mainstream
E01005849,5,e-Rational Utilitarians
E01005850,7,Passive and Uncommitted Users
E01005851,6,e-Mainstream
E01005852,3,e-Veterans
E01005853,6,e-Mainstream
E01005854,3,e-Veterans
E01005855,3,e-Veterans
E01005856,3,e-Veterans
E01005857,6,e-Mainstream
E01005858,3,e-Veterans
E01005859,3,e-Veterans
E01005860,3,e-Veterans
E01005861,6,e-Mainstream
E01005862,6,e-Mainstream
E01005863,3,e-Veterans
E01005864,3,e-Veterans
E01005865,3,e-Veterans
E01005866,3,e-Veterans
E01005867,3,e-Veterans
E01005868,6,e-Mainstream
E01005869,6,e-Mainstream
E01005870,6,e-Mainstream
E01005871,6,e-Mainstream
E01005872,6,e-Mainstream
E01005873,6,e-Mainstream
E01005874,10,e-Withdrawn
E01005875,6,e-Mainstream
E01005876,6,e-Mainstream
E01005877,7,Passive and Uncommitted Users
E01005878,7,Passive and Uncommitted Users
E01005879,8,Digital Seniors
E01005880,5,e-Rational Utilitarians
E01005881,3,e-Veterans
E01005882,5,e-Rational Utilitarians
E01005883,5,e-Rational Utilitarians
E01005884,5,e-Rational Utilitarians
E01005885,8,Digital Seniors
E01005886,6,e-Mainstream
E01005887,7,Passive and Uncommitted Users
E01005888,6,e-Mainstream
E01005889,7,Passive and Uncommitted Users
E01005890,7,Passive and Uncommitted Users
E01005891,8,Digital Seniors
E01005892,7,Passive and Uncommitted Users
E01005893,6,e-Mainstream
E01005894,6,e-Mainstream
E01005895,7,Passive and Uncommitted Users
E01005896,6,e-Mainstream
E01005897,7,Passive and Uncommitted Users
E01005898,8,Digital Seniors
E01005899,9,Settled Offline Communities
E01005900,8,Digital Seniors
E01005901,9,Settled Offline Communities
E01005902,7,Passive and Uncommitted Users
E01005903,5,e-Rational Utilitarians
E01005904,5,e-Rational Utilitarians
E01005905,7,Passive and Uncommitted Users
E01005906,5,e-Rational Utilitarians
E01005907,9,Settled Offline Communities
E01005908,5,e-Rational Utilitarians
E01005909,5,e-Rational Utilitarians
E01005910,6,e-Mainstream
E01005911,5,e-Rational Utilitarians
E01005912,5,e-Rational Utilitarians
E01005913,5,e-Rational Utilitarians
E01005914,7,Passive and Uncommitted Users
E01005915,7,Passive and Uncommitted Users
E01005916,6,e-Mainstream
E01005917,4,Youthful Urban Fringe
E01005918,10,e-Withdrawn
E01005919,7,Passive and Uncommitted Users
E01005920,6,e-Mainstream
E01005921,7,Passive and Uncommitted Users
E01005922,6,e-Mainstream
E01005923,5,e-Rational Utilitarians
E01005924,3,e-Veterans
E01005925,5,e-Rational Utilitarians
E01005926,5,e-Rational Utilitarians
E01005927,3,e-Veterans
E01005928,6,e-Mainstream
E01005929,5,e-Rational Utilitarians
E01005930,5,e-Rational Utilitarians
E01005931,5,e-Rational Utilitarians
E01005932,5,e-Rational Utilitarians
E01005933,7,Passive and Uncommitted Users
E01005934,7,Passive and Uncommitted Users
E01005935,10,e-Withdrawn
E01005936,8,Digital Seniors
E01005937,7,Passive and Uncommitted Users
E01005938,7,Passive and Uncommitted Users
E01005939,8,Digital Seniors
E01005940,8,Digital Seniors
E01005941,10,e-Withdrawn
E01005942,6,e-Mainstream
E01005943,6,e-Mainstream
E01005944,6,e-Mainstream
E01005945,10,e-Withdrawn
E01005946,7,Passive and Uncommitted Users
E01005947,10,e-Withdrawn
E01005948,10,e-Withdrawn
E01005949,7,Passive and Uncommitted Users
E01005950,10,e-Withdrawn
E01005951,7,Passive and Uncommitted Users
E01005952,10,e-Withdrawn
E01005953,10,e-Withdrawn
E01005954,10,e-Withdrawn
E01005955,3,e-Veterans
E01005956,8,Digital Seniors
E01005957,6,e-Mainstream
E01005958,7,Passive and Uncommitted Users
E01005959,7,Passive and Uncommitted Users
E01005960,7,Passive and Uncommitted Users
E01005961,6,e-Mainstream
E01005962,8,Digital Seniors
E01005963,6,e-Mainstream
E01005964,6,e-Mainstream
E01005965,10,e-Withdrawn
E01005966,6,e-Mainstream
E01005967,10,e-Withdrawn
E01005968,6,e-Mainstream
E01005969,6,e-Mainstream
E01005970,8,Digital Seniors
E01005971,7,Passive and Uncommitted Users
E01005972,7,Passive and Uncommitted Users
E01005973,8,Digital Seniors
E01005974,7,Passive and Uncommitted Users
E01005975,7,Passive and Uncommitted Users
E01005976,7,Passive and Uncommitted Users
E01005977,7,Passive and Uncommitted Users
E01005978,7,Passive and Uncommitted Users
E01005979,7,Passive and Uncommitted Users
E01005980,7,Passive and Uncommitted Users
E01005981,10,e-Withdrawn
E01005982,7,Passive and Uncommitted Users
E01005983,8,Digital Seniors
E01005984,10,e-Withdrawn
E01005985,9,Settled Offline Communities
E01005986,7,Passive and Uncommitted Users
E01005987,8,Digital Seniors
E01005988,6,e-Mainstream
E01005989,6,e-Mainstream
E01005990,8,Digital Seniors
E01005991,6,e-Mainstream
E01005992,7,Passive and Uncommitted Users
E01005993,7,Passive and Uncommitted Users
E01005994,7,Passive and Uncommitted Users
E01005995,3,e-Veterans
E01005996,7,Passive and Uncommitted Users
E01005997,7,Passive and Uncommitted Users
E01005998,7,Passive and Uncommitted Users
E01005999,7,Passive and Uncommitted Users
E01006000,10,e-Withdrawn
E01006001,7,Passive and Uncommitted Users
E01006002,7,Passive and Uncommitted Users
E01006003,7,Passive and Uncommitted Users
E01006004,8,Digital Seniors
E01006005,7,Passive and Uncommitted Users
E01006006,6,e-Mainstream
E01006007,7,Passive and Uncommitted Users
E01006008,6,e-Mainstream
E01006009,8,Digital Seniors
E01006010,10,e-Withdrawn
E01006011,7,Passive and Uncommitted Users
E01006012,6,e-Mainstream
E01006013,7,Passive and Uncommitted Users
E01006014,7,Passive and Uncommitted Users
E01006015,3,e-Veterans
E01006016,10,e-Withdrawn
E01006017,5,e-Rational Utilitarians
E01006018,8,Digital Seniors
E01006019,10,e-Withdrawn
E01006020,7,Passive and Uncommitted Users
E01006021,8,Digital Seniors
E01006022,6,e-Mainstream
E01006023,7,Passive and Uncommitted Users
E01006024,3,e-Veterans
E01006025,10,e-Withdrawn
E01006026,7,Passive and Uncommitted Users
E01006027,10,e-Withdrawn
E01006028,10,e-Withdrawn
E01006029,7,Passive and Uncommitted Users
E01006030,7,Passive and Uncommitted Users
E01006031,7,Passive and Uncommitted Users
E01006032,7,Passive and Uncommitted Users
E01006033,7,Passive and Uncommitted Users
E01006034,7,Passive and Uncommitted Users
E01006035,7,Passive and Uncommitted Users
E01006036,6,e-Mainstream
E01006037,5,e-Rational Utilitarians
E01006038,8,Digital Seniors
E01006039,7,Passive and Uncommitted Users
E01006040,7,Passive and Uncommitted Users
E01006041,6,e-Mainstream
E01006042,6,e-Mainstream
E01006043,7,Passive and Uncommitted Users
E01006044,9,Settled Offline Communities
E01006045,5,e-Rational Utilitarians
E01006046,8,Digital Seniors
E01006047,6,e-Mainstream
E01006048,8,Digital Seniors
E01006049,8,Digital Seniors
E01006050,10,e-Withdrawn
E01006051,8,Digital Seniors
E01006052,10,e-Withdrawn
E01006053,3,e-Veterans
E01006054,7,Passive and Uncommitted Users
E01006055,3,e-Veterans
E01006056,7,Passive and Uncommitted Users
E01006057,3,e-Veterans
E01006058,6,e-Mainstream
E01006059,3,e-Veterans
E01006060,7,Passive and Uncommitted Users
E01006061,7,Passive and Uncommitted Users
E01006062,3,e-Veterans
E01006063,3,e-Veterans
E01006064,10,e-Withdrawn
E01006065,7,Passive and Uncommitted Users
E01006066,7,Passive and Uncommitted Users
E01006067,3,e-Veterans
E01006068,7,Passive and Uncommitted Users
E01006069,7,Passive and Uncommitted Users
E01006070,6,e-Mainstream
E01006071,5,e-Rational Utilitarians
E01006072,3,e-Veterans
E01006073,7,Passive and Uncommitted Users
E01006074,8,Digital Seniors
E01006075,3,e-Veterans
E01006076,5,e-Rational Utilitarians
E01006077,3,e-Veterans
E01006078,3,e-Veterans
E01006079,3,e-Veterans
E01006080,3,e-Veterans
E01006081,3,e-Veterans
E01006082,3,e-Veterans
E01006083,3,e-Veterans
E01006084,3,e-Veterans
E01006085,3,e-Veterans
E01006086,5,e-Rational Utilitarians
E01006087,3,e-Veterans
E01006088,3,e-Veterans
E01006089,6,e-Mainstream
E01006090,3,e-Veterans
E01006091,3,e-Veterans
E01006092,7,Passive and Uncommitted Users
E01006093,3,e-Veterans
E01006094,3,e-Veterans
E01006095,3,e-Veterans
E01006096,3,e-Veterans
E01006097,3,e-Veterans
E01006098,3,e-Veterans
E01006099,3,e-Veterans
E01006100,6,e-Mainstream
E01006101,3,e-Veterans
E01006102,6,e-Mainstream
E01006103,3,e-Veterans
E01006104,7,Passive and Uncommitted Users
E01006105,7,Passive and Uncommitted Users
E01006106,7,Passive and Uncommitted Users
E01006107,7,Passive and Uncommitted Users
E01006108,10,e-Withdrawn
E01006109,10,e-Withdrawn
E01006110,4,Youthful Urban Fringe
E01006111,7,Passive and Uncommitted Users
E01006112,10,e-Withdrawn
E01006113,7,Passive and Uncommitted Users
E01006114,7,Passive and Uncommitted Users
E01006115,4,Youthful Urban Fringe
E01006116,6,e-Mainstream
E01006117,6,e-Mainstream
E01006118,7,Passive and Uncommitted Users
E01006119,6,e-Mainstream
E01006120,5,e-Rational Utilitarians
E01006121,6,e-Mainstream
E01006122,8,Digital Seniors
E01006123,6,e-Mainstream
E01006124,5,e-Rational Utilitarians
E01006125,6,e-Mainstream
E01006126,7,Passive and Uncommitted Users
E01006127,6,e-Mainstream
E01006128,6,e-Mainstream
E01006129,8,Digital Seniors
E01006130,6,e-Mainstream
E01006131,6,e-Mainstream
E01006132,6,e-Mainstream
E01006133,8,Digital Seniors
E01006134,3,e-Veterans
E01006135,5,e-Rational Utilitarians
E01006136,3,e-Veterans
E01006137,3,e-Veterans
E01006138,6,e-Mainstream
E01006139,3,e-Veterans
E01006140,3,e-Veterans
E01006141,6,e-Mainstream
E01006142,6,e-Mainstream
E01006143,3,e-Veterans
E01006144,7,Passive and Uncommitted Users
E01006145,7,Passive and Uncommitted Users
E01006146,6,e-Mainstream
E01006147,3,e-Veterans
E01006148,3,e-Veterans
E01006149,5,e-Rational Utilitarians
E01006150,3,e-Veterans
E01006151,3,e-Veterans
E01006152,5,e-Rational Utilitarians
E01006153,5,e-Rational Utilitarians
E01006154,3,e-Veterans
E01006155,6,e-Mainstream
E01006156,6,e-Mainstream
E01006157,6,e-Mainstream
E01006158,7,Passive and Uncommitted Users
E01006159,7,Passive and Uncommitted Users
E01006160,6,e-Mainstream
E01006161,3,e-Veterans
E01006162,3,e-Veterans
E01006163,3,e-Veterans
E01006164,5,e-Rational Utilitarians
E01006165,3,e-Veterans
E01006166,7,Passive and Uncommitted Users
E01006167,10,e-Withdrawn
E01006168,7,Passive and Uncommitted Users
E01006169,6,e-Mainstream
E01006170,6,e-Mainstream
E01006171,7,Passive and Uncommitted Users
E01006172,8,Digital Seniors
E01006173,6,e-Mainstream
E01006174,3,e-Veterans
E01006175,7,Passive and Uncommitted Users
E01006176,6,e-Mainstream
E01006177,7,Passive and Uncommitted Users
E01006178,3,e-Veterans
E01006179,7,Passive and Uncommitted Users
E01006180,4,Youthful Urban Fringe
E01006181,7,Passive and Uncommitted Users
E01006182,6,e-Mainstream
E01006183,6,e-Mainstream
E01006184,7,Passive and Uncommitted Users
E01006185,4,Youthful Urban Fringe
E01006186,6,e-Mainstream
E01006187,4,Youthful Urban Fringe
E01006188,4,Youthful Urban Fringe
E01006189,6,e-Mainstream
E01006190,5,e-Rational Utilitarians
E01006191,5,e-Rational Utilitarians
E01006192,5,e-Rational Utilitarians
E01006193,3,e-Veterans
E01006194,3,e-Veterans
E01006195,3,e-Veterans
E01006196,3,e-Veterans
E01006197,5,e-Rational Utilitarians
E01006198,6,e-Mainstream
E01006199,6,e-Mainstream
E01006200,7,Passive and Uncommitted Users
E01006201,3,e-Veterans
E01006202,6,e-Mainstream
E01006203,3,e-Veterans
E01006204,5,e-Rational Utilitarians
E01006205,5,e-Rational Utilitarians
E01006206,6,e-Mainstream
E01006207,7,Passive and Uncommitted Users
E01006208,6,e-Mainstream
E01006209,5,e-Rational Utilitarians
E01006210,3,e-Veterans
E01006211,7,Passive and Uncommitted Users
E01006212,8,Digital Seniors
E01006213,7,Passive and Uncommitted Users
E01006214,7,Passive and Uncommitted Users
E01006215,10,e-Withdrawn
E01006216,6,e-Mainstream
E01006217,7,Passive and Uncommitted Users
E01006218,7,Passive and Uncommitted Users
E01006219,7,Passive and Uncommitted Users
E01006220,7,Passive and Uncommitted Users
E01006221,6,e-Mainstream
E01006222,6,e-Mainstream
E01006223,8,Digital Seniors
E01006224,3,e-Veterans
E01006225,8,Digital Seniors
E01006226,8,Digital Seniors
E01006227,6,e-Mainstream
E01006228,6,e-Mainstream
E01006229,8,Digital Seniors
E01006230,5,e-Rational Utilitarians
E01006231,5,e-Rational Utilitarians
E01006232,5,e-Rational Utilitarians
E01006233,5,e-Rational Utilitarians
E01006234,9,Settled Offline Communities
E01006235,7,Passive and Uncommitted Users
E01006236,5,e-Rational Utilitarians
E01006237,3,e-Veterans
E01006238,7,Passive and Uncommitted Users
E01006239,10,e-Withdrawn
E01006240,10,e-Withdrawn
E01006241,7,Passive and Uncommitted Users
E01006242,7,Passive and Uncommitted Users
E01006243,6,e-Mainstream
E01006244,7,Passive and Uncommitted Users
E01006245,6,e-Mainstream
E01006246,7,Passive and Uncommitted Users
E01006247,8,Digital Seniors
E01006248,10,e-Withdrawn
E01006249,7,Passive and Uncommitted Users
E01006250,5,e-Rational Utilitarians
E01006251,5,e-Rational Utilitarians
E01006252,8,Digital Seniors
E01006253,7,Passive and Uncommitted Users
E01006254,7,Passive and Uncommitted Users
E01006255,8,Digital Seniors
E01006256,8,Digital Seniors
E01006257,6,e-Mainstream
E01006258,7,Passive and Uncommitted Users
E01006259,6,e-Mainstream
E01006260,7,Passive and Uncommitted Users
E01006261,7,Passive and Uncommitted Users
E01006262,7,Passive and Uncommitted Users
E01006263,5,e-Rational Utilitarians
E01006264,5,e-Rational Utilitarians
E01006265,8,Digital Seniors
E01006266,9,Settled Offline Communities
E01006267,10,e-Withdrawn
E01006268,6,e-Mainstream
E01006269,7,Passive and Uncommitted Users
E01006270,10,e-Withdrawn
E01006271,6,e-Mainstream
E01006272,7,Passive and Uncommitted Users
E01006273,7,Passive and Uncommitted Users
E01006274,7,Passive and Uncommitted Users
E01006275,10,e-Withdrawn
E01006276,6,e-Mainstream
E01006277,3,e-Veterans
E01006278,9,Settled Offline Communities
E01006279,6,e-Mainstream
E01006280,7,Passive and Uncommitted Users
E01006281,6,e-Mainstream
E01006282,7,Passive and Uncommitted Users
E01006283,7,Passive and Uncommitted Users
E01006284,7,Passive and Uncommitted Users
E01006285,5,e-Rational Utilitarians
E01006286,9,Settled Offline Communities
E01006287,5,e-Rational Utilitarians
E01006288,7,Passive and Uncommitted Users
E01006289,10,e-Withdrawn
E01006290,8,Digital Seniors
E01006291,7,Passive and Uncommitted Users
E01006292,8,Digital Seniors
E01006293,7,Passive and Uncommitted Users
E01006294,6,e-Mainstream
E01006295,7,Passive and Uncommitted Users
E01006296,7,Passive and Uncommitted Users
E01006297,7,Passive and Uncommitted Users
E01006298,7,Passive and Uncommitted Users
E01006299,6,e-Mainstream
E01006300,8,Digital Seniors
E01006301,3,e-Veterans
E01006302,3,e-Veterans
E01006303,5,e-Rational Utilitarians
E01006304,8,Digital Seniors
E01006305,10,e-Withdrawn
E01006306,10,e-Withdrawn
E01006307,7,Passive and Uncommitted Users
E01006308,7,Passive and Uncommitted Users
E01006309,7,Passive and Uncommitted Users
E01006310,10,e-Withdrawn
E01006311,7,Passive and Uncommitted Users
E01006312,5,e-Rational Utilitarians
E01006313,7,Passive and Uncommitted Users
E01006314,5,e-Rational Utilitarians
E01006315,5,e-Rational Utilitarians
E01006316,5,e-Rational Utilitarians
E01006317,8,Digital Seniors
E01006318,8,Digital Seniors
E01006319,3,e-Veterans
E01006320,5,e-Rational Utilitarians
E01006321,3,e-Veterans
E01006322,7,Passive and Uncommitted Users
E01006323,7,Passive and Uncommitted Users
E01006324,7,Passive and Uncommitted Users
E01006325,6,e-Mainstream
E01006326,7,Passive and Uncommitted Users
E01006327,10,e-Withdrawn
E01006328,7,Passive and Uncommitted Users
E01006329,7,Passive and Uncommitted Users
E01006330,6,e-Mainstream
E01006331,5,e-Rational Utilitarians
E01006332,7,Passive and Uncommitted Users
E01006333,7,Passive and Uncommitted Users
E01006334,7,Passive and Uncommitted Users
E01006335,6,e-Mainstream
E01006336,10,e-Withdrawn
E01006337,8,Digital Seniors
E01006338,7,Passive and Uncommitted Users
E01006339,5,e-Rational Utilitarians
E01006340,7,Passive and Uncommitted Users
E01006341,6,e-Mainstream
E01006342,7,Passive and Uncommitted Users
E01006343,3,e-Veterans
E01006344,7,Passive and Uncommitted Users
E01006345,5,e-Rational Utilitarians
E01006346,6,e-Mainstream
E01006347,5,e-Rational Utilitarians
E01006348,5,e-Rational Utilitarians
E01006349,6,e-Mainstream
E01006350,10,e-Withdrawn
E01006351,10,e-Withdrawn
E01006352,7,Passive and Uncommitted Users
E01006353,7,Passive and Uncommitted Users
E01006354,10,e-Withdrawn
E01006355,7,Passive and Uncommitted Users
E01006356,7,Passive and Uncommitted Users
E01006357,10,e-Withdrawn
E01006358,7,Passive and Uncommitted Users
E01006359,7,Passive and Uncommitted Users
E01006360,10,e-Withdrawn
E01006361,10,e-Withdrawn
E01006362,5,e-Rational Utilitarians
E01006363,9,Settled Offline Communities
E01006364,8,Digital Seniors
E01006365,3,e-Veterans
E01006366,8,Digital Seniors
E01006367,8,Digital Seniors
E01006368,8,Digital Seniors
E01006369,7,Passive and Uncommitted Users
